Soil_Type,Fertility_Index,Location,Season,Average_Rainfall(mm),Temperature(°C),Land_Use_Type,Market_Price,Soil_pH,Sunlight_Exposure(hours),Irrigation_Availability,Pest_and_Disease_History,Previous_Crop
Peaty,80,Khulna,Monsoon,103.05,18.46,Unused,432,8.41,4.33,Yes,High,None
Peaty,74,Khulna,Monsoon,60.83,29.47,Residential,171,8.32,6.78,Yes,Moderate,Tea
Peaty,91,Khulna,Summer,389.76,29.24,Barren,93,7.7,6.12,No,Low,Maize
Silt,64,Barishal,Autumn,320.74,36.71,Unused,384,5.47,9.49,Yes,None,Jute
Clay,65,Khulna,Monsoon,393.04,24.48,Barren,420,4.77,11.59,Yes,Moderate,Jute
Loamy,50,Khulna,Winter,217.26,24.29,Agricultural,293,5.77,6.14,Yes,Moderate,Rice
Peaty,77,Sylhet,Summer,236.29,30.46,Unused,61,5.57,10.49,Yes,Moderate,Vegetables
Sandy,41,Dhaka,Autumn,108.92,30.83,Barren,231,6.52,4.44,Yes,None,Rice
Peaty,46,Rajshahi,Monsoon,136.42,26.73,Unused,120,7.61,8.3,Yes,None,Wheat
Sandy,57,Dhaka,Winter,343.49,26.08,Barren,64,7.93,4.56,Yes,None,Jute
Sandy,66,Khulna,Autumn,174.66,27.35,Unused,101,7.88,11.47,Yes,Low,Vegetables
Peaty,73,Sylhet,Autumn,339.39,36.53,Barren,36,5.94,10.13,No,Moderate,Tea
Silt,66,Rangpur,Summer,298.15,26.53,Agricultural,92,7.25,9.26,Yes,High,Rice
Sandy,56,Sylhet,Autumn,112.01,38.5,Unused,33,5.75,10.59,Yes,High,Tea
Sandy,82,Khulna,Summer,227.61,27.6,Unused,452,4.74,9.18,No,Moderate,Tea
Peaty,98,Sylhet,Monsoon,287.09,38.73,Unused,176,7.31,11.75,No,High,Tea
Sandy,83,Chattogram,Summer,132.26,35.82,Unused,242,4.54,9.71,No,Low,Rice
Sandy,98,Sylhet,Winter,340.74,24.06,Agricultural,151,6.14,11.4,Yes,Low,Wheat
Peaty,90,Khulna,Summer,240.69,36.59,Unused,357,5.82,8.14,No,None,None
Peaty,93,Barishal,Winter,107.83,17.75,Residential,423,7.27,4.94,No,None,None
Loamy,63,Chattogram,Summer,254.04,38.13,Agricultural,395,7.56,8.23,Yes,None,Rice
Silt,64,Sylhet,Autumn,399.9,30.79,Residential,395,5.72,5.01,Yes,None,None
Silt,46,Rajshahi,Monsoon,102.68,16.36,Unused,66,7.75,8.74,No,None,Maize
Sandy,91,Rajshahi,Winter,335.86,31.11,Barren,126,5.68,7.86,No,High,None
Silt,45,Sylhet,Summer,122.56,39.36,Residential,127,6.29,8.98,Yes,High,Jute
Sandy,92,Barishal,Summer,323.84,16.75,Unused,284,7.41,4.08,Yes,None,Rice
Loamy,63,Rangpur,Summer,307.1,28.87,Residential,224,7.27,5.56,Yes,Low,None
Peaty,72,Khulna,Autumn,155.17,33.69,Unused,98,8.45,7.93,Yes,High,Rice
Peaty,88,Rajshahi,Autumn,164.04,35.26,Unused,174,5.4,11.6,Yes,Low,Wheat
Peaty,68,Rangpur,Winter,327.38,25.35,Unused,290,7.15,7.07,No,Low,Maize
Silt,82,Sylhet,Winter,211.51,20.1,Barren,495,6.94,7.39,Yes,Moderate,Rice
Loamy,61,Rangpur,Autumn,305.79,16.06,Residential,266,8.16,9.72,Yes,Moderate,Jute
Silt,65,Chattogram,Winter,101.79,29.49,Agricultural,38,5.13,8.83,Yes,None,None
Silt,67,Dhaka,Monsoon,348.4,26.32,Agricultural,365,7.51,6.39,Yes,Low,Jute
Loamy,89,Rajshahi,Monsoon,298.81,38.72,Agricultural,455,6.77,7.29,Yes,High,None
Loamy,60,Sylhet,Autumn,367.43,16.52,Agricultural,45,5.6,5.74,No,Moderate,Rice
Loamy,88,Khulna,Winter,96.33,32.13,Unused,236,6.4,11.73,Yes,Moderate,Tea
Loamy,46,Barishal,Summer,257.56,15.62,Residential,173,5.84,5.05,No,Low,None
Peaty,56,Chattogram,Monsoon,259.69,19.29,Residential,173,6.82,6.97,Yes,Moderate,Tea
Clay,59,Sylhet,Autumn,173.71,26.34,Barren,193,8.06,4.21,No,Moderate,Maize
Clay,80,Khulna,Winter,210.46,26.37,Residential,111,6.78,5.77,No,High,Jute
Loamy,88,Barishal,Autumn,63.29,32.14,Residential,452,7.03,10.24,Yes,Low,Tea
Clay,59,Barishal,Summer,311.05,37.76,Residential,357,6.57,5.61,Yes,Moderate,Jute
Clay,93,Sylhet,Monsoon,242.26,30.98,Barren,499,4.7,4.64,Yes,Low,None
Loamy,61,Chattogram,Autumn,70.21,38.84,Agricultural,200,5.43,7.8,Yes,Moderate,None
Clay,67,Rangpur,Autumn,288.26,37.04,Residential,150,6.47,4.08,Yes,High,Maize
Silt,100,Rangpur,Autumn,213.37,29.61,Barren,469,5.74,4.68,No,Low,None
Sandy,79,Barishal,Summer,62.06,35.84,Barren,500,5.23,10.46,Yes,Moderate,Maize
Sandy,88,Rangpur,Autumn,389.36,31.06,Unused,317,6.52,10.17,Yes,High,Tea
Loamy,46,Dhaka,Summer,382.19,16.96,Barren,294,5.79,11.32,No,Moderate,None
Peaty,40,Barishal,Summer,229.52,33.51,Agricultural,292,5.53,10.84,Yes,Low,Rice
Loamy,71,Barishal,Summer,82.79,17.37,Residential,436,6.36,9.47,No,Moderate,Vegetables
Peaty,52,Khulna,Monsoon,314.12,29.85,Barren,95,5.03,4.42,Yes,Low,Wheat
Sandy,69,Rangpur,Monsoon,222.18,32.57,Agricultural,196,8.21,10.26,No,Low,Vegetables
Loamy,62,Chattogram,Autumn,155.86,16.66,Barren,203,7.97,10.76,Yes,Moderate,Vegetables
Silt,90,Barishal,Autumn,222.0,20.77,Barren,338,7.33,10.39,No,High,Jute
Clay,98,Chattogram,Monsoon,232.86,37.89,Barren,150,4.92,8.07,No,None,Maize
Peaty,95,Dhaka,Winter,246.95,30.41,Barren,382,7.6,5.86,Yes,High,Jute
Clay,58,Khulna,Monsoon,204.43,21.16,Barren,68,7.73,10.76,Yes,High,Tea
Clay,71,Sylhet,Summer,262.01,32.27,Agricultural,74,7.57,9.82,Yes,Moderate,Wheat
Loamy,69,Chattogram,Monsoon,371.56,29.92,Residential,173,4.96,11.85,No,High,Tea
Clay,68,Barishal,Summer,176.79,27.54,Residential,374,7.08,5.25,No,High,Rice
Silt,88,Dhaka,Autumn,304.0,39.4,Residential,219,7.84,5.81,No,None,Wheat
Clay,84,Rajshahi,Winter,363.06,32.09,Residential,327,6.81,5.69,Yes,High,Jute
Loamy,68,Dhaka,Autumn,209.59,24.39,Agricultural,375,7.09,10.34,Yes,None,None
Silt,69,Dhaka,Summer,205.21,35.0,Unused,392,6.33,5.5,No,Moderate,None
Sandy,55,Khulna,Summer,260.74,37.11,Unused,137,6.61,4.53,Yes,None,Jute
Clay,79,Sylhet,Summer,256.99,18.13,Agricultural,282,4.64,11.99,No,Low,Tea
Loamy,58,Rajshahi,Winter,332.31,20.01,Agricultural,65,7.06,4.2,Yes,Low,Jute
Sandy,57,Rangpur,Monsoon,216.77,20.41,Barren,321,4.83,10.68,Yes,None,Jute
Sandy,40,Rangpur,Autumn,398.64,32.28,Barren,375,6.24,6.92,No,Low,Vegetables
Peaty,53,Chattogram,Autumn,70.82,30.08,Barren,419,5.67,10.73,Yes,Moderate,Rice
Silt,90,Dhaka,Monsoon,51.11,30.47,Residential,427,6.68,8.44,Yes,Low,None
Clay,86,Khulna,Autumn,274.07,38.52,Barren,208,5.03,11.21,Yes,None,Vegetables
Loamy,89,Khulna,Winter,154.45,34.4,Unused,329,7.27,11.41,Yes,Moderate,Jute
Peaty,41,Rangpur,Autumn,134.13,18.2,Residential,337,7.68,4.07,Yes,Low,Maize
Silt,93,Chattogram,Summer,159.16,23.69,Barren,148,5.15,4.6,No,Moderate,Vegetables
Peaty,67,Chattogram,Monsoon,139.62,25.88,Residential,68,4.92,6.0,Yes,None,Jute
Silt,88,Chattogram,Winter,60.78,24.9,Unused,44,5.08,9.35,No,Low,None
Silt,89,Rajshahi,Monsoon,390.04,31.73,Barren,285,8.01,11.11,Yes,Moderate,Jute
Clay,69,Sylhet,Winter,127.26,37.3,Unused,137,6.61,7.68,Yes,Moderate,Rice
Silt,77,Rajshahi,Summer,306.91,22.65,Unused,483,6.37,8.86,No,Low,Tea
Peaty,90,Barishal,Monsoon,316.91,28.8,Unused,163,4.93,5.51,No,Moderate,Wheat
Silt,43,Barishal,Autumn,375.24,34.74,Barren,461,7.1,10.44,Yes,Moderate,Vegetables
Clay,40,Sylhet,Winter,60.69,25.41,Agricultural,219,7.97,11.74,Yes,None,Vegetables
Clay,47,Rangpur,Monsoon,355.22,19.2,Barren,176,7.81,6.15,No,None,Vegetables
Peaty,68,Sylhet,Autumn,234.53,26.87,Unused,367,7.0,7.96,No,None,Jute
Sandy,94,Khulna,Monsoon,271.39,16.38,Barren,153,4.8,4.69,No,None,Rice
Sandy,78,Barishal,Monsoon,275.56,38.56,Unused,419,4.95,8.47,No,None,Jute
Silt,42,Dhaka,Monsoon,336.93,16.87,Agricultural,167,4.7,8.02,Yes,None,Jute
Loamy,71,Dhaka,Winter,166.69,25.96,Residential,355,5.53,5.16,Yes,Low,Tea
Silt,49,Rangpur,Autumn,306.57,28.25,Agricultural,90,5.04,7.54,Yes,None,Maize
Peaty,49,Khulna,Summer,235.0,39.63,Agricultural,252,5.54,6.67,Yes,Moderate,Rice
Peaty,58,Rajshahi,Winter,327.69,19.15,Residential,353,6.04,8.17,Yes,Low,Vegetables
Peaty,85,Khulna,Winter,396.69,17.86,Barren,318,8.27,8.69,No,Moderate,Wheat
Peaty,73,Dhaka,Winter,120.23,15.22,Residential,173,6.94,4.07,No,None,Vegetables
Peaty,99,Dhaka,Summer,398.13,18.89,Barren,109,7.84,10.09,No,None,Jute
Clay,72,Barishal,Autumn,81.43,20.18,Barren,353,7.34,9.7,Yes,Moderate,Rice
Sandy,62,Khulna,Autumn,50.81,30.76,Unused,218,4.95,6.93,No,Moderate,None
Peaty,94,Khulna,Autumn,65.46,20.49,Unused,180,7.44,4.42,Yes,Moderate,Rice
Loamy,67,Dhaka,Monsoon,169.62,15.51,Residential,45,5.6,10.04,Yes,High,Rice
Loamy,71,Rajshahi,Monsoon,271.52,35.67,Agricultural,140,7.06,11.64,Yes,High,Maize
Loamy,89,Rangpur,Monsoon,74.16,24.14,Residential,320,5.86,5.92,No,High,Vegetables
Loamy,46,Chattogram,Summer,51.98,23.84,Barren,231,8.49,6.59,Yes,High,Maize
Clay,68,Rangpur,Monsoon,377.98,22.56,Unused,82,5.55,5.47,Yes,Low,None
Loamy,47,Khulna,Summer,337.67,39.38,Residential,470,5.62,8.62,No,None,None
Peaty,40,Rangpur,Autumn,333.21,19.25,Residential,455,8.22,5.24,Yes,Moderate,Tea
Silt,96,Dhaka,Monsoon,359.55,37.46,Unused,87,4.6,6.85,No,None,Wheat
Loamy,94,Dhaka,Monsoon,295.01,34.42,Unused,272,7.29,9.58,Yes,Moderate,Tea
Clay,42,Khulna,Winter,86.54,16.91,Unused,429,7.4,8.48,No,None,Jute
Clay,63,Khulna,Summer,189.69,39.67,Barren,478,7.85,7.09,Yes,Low,Maize
Loamy,62,Chattogram,Autumn,303.1,21.78,Unused,21,8.4,7.36,Yes,High,Maize
Silt,98,Chattogram,Winter,148.12,17.46,Agricultural,417,8.4,8.5,No,None,Tea
Loamy,100,Barishal,Winter,290.59,35.73,Residential,127,4.76,4.05,Yes,Moderate,Jute
Clay,47,Khulna,Autumn,58.57,32.67,Unused,305,7.79,4.63,No,None,Rice
Sandy,93,Rajshahi,Winter,157.15,30.43,Unused,68,7.09,11.05,Yes,Low,Jute
Peaty,96,Rangpur,Summer,242.2,18.9,Barren,159,7.09,4.62,No,Low,Vegetables
Clay,86,Khulna,Summer,271.23,26.96,Barren,237,5.01,9.65,Yes,None,Tea
Loamy,76,Sylhet,Monsoon,251.96,34.51,Residential,63,7.1,11.36,Yes,High,Jute
Peaty,42,Barishal,Winter,294.21,22.59,Agricultural,436,8.43,6.17,Yes,Moderate,Rice
Loamy,90,Sylhet,Monsoon,52.13,22.79,Residential,288,8.15,6.96,No,Low,Jute
Loamy,72,Dhaka,Winter,85.33,15.08,Unused,97,6.26,8.55,No,Low,Maize
Sandy,67,Chattogram,Summer,354.13,19.36,Agricultural,235,4.66,11.05,No,None,Wheat
Peaty,86,Rangpur,Summer,288.61,36.89,Agricultural,401,5.95,11.54,No,Low,Maize
Peaty,47,Khulna,Summer,89.53,26.04,Agricultural,117,7.81,9.92,No,Low,None
Sandy,73,Sylhet,Winter,344.73,39.61,Agricultural,255,7.31,4.69,Yes,Moderate,Wheat
Clay,74,Rangpur,Summer,134.78,24.89,Residential,301,6.34,9.35,Yes,High,None
Loamy,71,Dhaka,Winter,217.39,32.88,Barren,168,4.72,7.28,Yes,Moderate,Jute
Silt,63,Chattogram,Monsoon,100.82,22.05,Barren,431,6.21,7.77,Yes,High,Vegetables
Loamy,53,Rajshahi,Winter,298.54,24.1,Unused,323,6.38,4.39,Yes,Moderate,Jute
Loamy,71,Barishal,Monsoon,283.4,19.77,Barren,443,8.21,5.53,No,None,Rice
Clay,95,Rangpur,Winter,123.89,23.68,Barren,85,7.06,10.32,Yes,Low,Jute
Loamy,85,Rangpur,Monsoon,352.19,28.68,Barren,253,5.75,7.63,No,High,Wheat
Sandy,82,Rajshahi,Summer,190.46,39.79,Barren,476,6.6,6.41,Yes,None,Maize
Sandy,55,Rangpur,Monsoon,152.38,31.61,Unused,106,4.76,7.07,No,Low,Vegetables
Peaty,43,Dhaka,Summer,103.32,19.98,Residential,98,8.39,10.84,No,Low,None
Silt,91,Dhaka,Summer,143.16,16.12,Agricultural,224,5.94,9.99,No,Low,Jute
Loamy,76,Rajshahi,Monsoon,57.71,18.16,Barren,298,6.41,6.18,Yes,Moderate,Jute
Loamy,93,Barishal,Winter,254.14,29.06,Residential,356,5.92,4.94,Yes,None,Maize
Clay,60,Khulna,Winter,344.78,34.13,Barren,273,7.23,6.02,Yes,None,Vegetables
Sandy,53,Sylhet,Autumn,242.14,38.51,Barren,323,7.15,11.37,Yes,Low,Tea
Silt,70,Khulna,Winter,126.75,15.4,Agricultural,399,7.36,8.65,No,High,None
Peaty,94,Rangpur,Autumn,61.78,28.07,Agricultural,149,5.57,8.27,No,None,Jute
Sandy,87,Sylhet,Winter,125.12,26.77,Agricultural,103,5.76,8.77,No,Moderate,Jute
Peaty,57,Rajshahi,Winter,195.64,31.4,Barren,295,5.0,6.93,No,High,Tea
Clay,46,Rajshahi,Summer,315.86,28.99,Barren,206,7.12,10.46,Yes,High,None
Clay,49,Barishal,Autumn,115.74,32.18,Barren,65,4.66,8.19,No,High,Wheat
Loamy,46,Sylhet,Winter,301.93,31.45,Agricultural,406,6.89,4.93,Yes,High,Wheat
Silt,72,Dhaka,Autumn,353.43,17.93,Unused,202,7.98,5.03,No,None,Rice
Peaty,62,Sylhet,Summer,208.88,34.99,Residential,287,8.06,8.29,No,Low,Maize
Sandy,60,Rangpur,Summer,337.5,18.08,Unused,315,6.3,11.49,No,High,Vegetables
Clay,58,Dhaka,Autumn,244.13,32.46,Barren,341,6.34,6.47,Yes,Moderate,Jute
Loamy,87,Chattogram,Summer,272.98,25.4,Barren,119,4.81,10.96,Yes,Moderate,None
Loamy,100,Chattogram,Monsoon,234.2,27.85,Unused,97,7.18,10.11,No,Low,Jute
Peaty,58,Chattogram,Monsoon,212.11,37.58,Barren,291,7.79,5.98,No,None,Rice
Clay,75,Rajshahi,Summer,132.13,37.25,Residential,358,5.48,4.29,No,Low,None
Silt,68,Sylhet,Monsoon,156.12,35.45,Barren,181,6.19,4.81,Yes,High,None
Clay,99,Chattogram,Winter,151.49,27.75,Residential,63,7.86,9.83,Yes,None,Jute
Peaty,57,Khulna,Autumn,247.15,33.41,Unused,257,8.01,5.6,Yes,None,Maize
Peaty,41,Barishal,Winter,91.98,27.82,Unused,153,5.47,6.97,No,High,Rice
Clay,40,Khulna,Autumn,370.88,36.74,Barren,480,6.7,8.01,Yes,Moderate,Maize
Peaty,86,Chattogram,Summer,302.23,25.07,Residential,211,5.27,9.8,No,High,Rice
Clay,44,Barishal,Winter,190.51,39.26,Barren,375,4.91,4.91,Yes,Low,Jute
Sandy,59,Rangpur,Summer,105.52,38.31,Agricultural,297,8.14,7.25,No,High,Rice
Clay,50,Khulna,Summer,358.7,33.54,Agricultural,37,7.78,7.88,No,Moderate,Wheat
Clay,81,Sylhet,Autumn,338.32,21.99,Agricultural,31,7.54,8.33,Yes,High,None
Peaty,41,Sylhet,Autumn,302.6,18.29,Agricultural,199,4.7,10.55,No,Low,Vegetables
Peaty,42,Khulna,Autumn,145.04,36.37,Barren,142,7.87,5.37,No,Low,Jute
Loamy,62,Chattogram,Winter,190.86,19.13,Agricultural,265,6.25,10.46,No,Moderate,Tea
Loamy,94,Sylhet,Monsoon,85.96,36.36,Residential,241,5.87,9.54,Yes,Low,Vegetables
Sandy,51,Rangpur,Autumn,116.16,27.27,Unused,392,6.69,8.45,No,Low,Jute
Loamy,59,Dhaka,Autumn,324.06,25.16,Unused,70,4.87,9.6,Yes,High,Vegetables
Clay,44,Chattogram,Winter,300.26,37.58,Agricultural,90,7.53,7.3,Yes,None,Wheat
Peaty,76,Rangpur,Autumn,257.72,30.1,Agricultural,499,6.83,5.11,No,Low,Vegetables
Loamy,77,Barishal,Winter,363.5,29.42,Agricultural,67,5.25,9.33,Yes,Low,Rice
Loamy,69,Rangpur,Summer,254.14,28.97,Barren,38,5.25,8.2,No,Moderate,Vegetables
Sandy,48,Chattogram,Autumn,213.44,24.28,Unused,281,5.24,9.11,Yes,Moderate,Jute
Sandy,73,Barishal,Autumn,169.13,34.64,Agricultural,103,4.73,6.7,No,High,Tea
Clay,92,Chattogram,Summer,379.16,21.32,Residential,174,6.85,11.25,Yes,High,Tea
Peaty,83,Sylhet,Summer,78.95,38.47,Agricultural,72,7.86,8.7,No,Low,Maize
Sandy,74,Dhaka,Summer,375.81,37.35,Unused,126,4.57,4.68,No,None,None
Loamy,91,Chattogram,Autumn,339.35,23.44,Agricultural,376,4.7,7.6,No,None,Vegetables
Peaty,97,Chattogram,Monsoon,95.48,33.24,Unused,323,6.79,10.05,No,High,Tea
Peaty,61,Sylhet,Monsoon,247.74,29.33,Agricultural,154,7.78,10.35,Yes,Moderate,Vegetables
Loamy,83,Rajshahi,Monsoon,353.29,23.44,Residential,462,5.81,7.96,Yes,Low,None
Sandy,63,Sylhet,Autumn,250.13,39.71,Agricultural,88,5.9,11.16,No,Low,Tea
Loamy,56,Barishal,Summer,367.52,15.63,Residential,30,6.89,6.14,Yes,None,None
Peaty,49,Sylhet,Autumn,380.04,21.32,Residential,162,5.6,7.28,No,High,Vegetables
Silt,69,Sylhet,Summer,197.83,28.0,Agricultural,211,4.61,11.19,No,None,Jute
Silt,95,Dhaka,Autumn,182.06,28.05,Residential,406,7.44,11.17,Yes,None,Vegetables
Clay,98,Sylhet,Autumn,377.71,29.72,Barren,397,7.0,9.49,Yes,High,None
Loamy,85,Chattogram,Summer,286.3,33.79,Agricultural,88,6.82,10.87,No,Moderate,Jute
Loamy,62,Dhaka,Monsoon,90.61,30.59,Agricultural,42,7.47,4.71,Yes,Low,Jute
Clay,71,Khulna,Summer,64.8,30.01,Residential,200,7.2,10.92,No,Moderate,Maize
Clay,56,Rajshahi,Winter,247.62,16.34,Residential,312,5.32,6.56,Yes,High,Tea
Clay,89,Dhaka,Winter,375.56,24.41,Agricultural,28,5.91,5.43,Yes,High,Rice
Peaty,90,Barishal,Summer,345.49,20.8,Barren,290,5.0,5.91,Yes,Low,Jute
Loamy,56,Khulna,Autumn,286.55,21.63,Residential,406,5.02,7.34,Yes,Moderate,None
Peaty,53,Dhaka,Winter,98.69,28.86,Residential,112,7.2,6.01,Yes,Low,Tea
Clay,48,Dhaka,Winter,138.98,19.99,Unused,473,7.93,6.56,No,None,Wheat
Loamy,79,Rajshahi,Autumn,356.43,22.35,Barren,36,8.35,5.08,Yes,None,Vegetables
Peaty,41,Chattogram,Autumn,113.98,20.93,Barren,173,7.01,6.37,Yes,None,None
Peaty,84,Barishal,Monsoon,147.45,38.71,Agricultural,424,5.24,8.58,No,Moderate,Wheat
Clay,64,Rangpur,Autumn,95.36,38.62,Barren,347,4.92,7.53,No,None,None
Loamy,78,Rangpur,Summer,286.64,30.25,Agricultural,168,7.75,6.77,No,Low,Vegetables
Clay,48,Dhaka,Summer,380.39,38.11,Unused,396,6.82,9.97,Yes,Moderate,Maize
Loamy,93,Sylhet,Monsoon,144.14,34.65,Barren,286,6.97,11.15,Yes,Low,None
Silt,61,Barishal,Winter,216.39,29.75,Residential,441,7.63,10.05,No,High,Jute
Sandy,82,Khulna,Winter,272.02,15.16,Unused,347,7.31,6.66,No,Moderate,Rice
Sandy,85,Sylhet,Autumn,399.81,34.31,Agricultural,125,7.84,9.96,No,Low,Jute
Sandy,43,Sylhet,Summer,86.68,32.56,Unused,491,4.72,5.22,No,Low,Vegetables
Clay,65,Barishal,Winter,224.5,30.38,Agricultural,400,7.49,5.04,Yes,Moderate,None
Silt,97,Chattogram,Monsoon,184.79,34.01,Unused,54,7.9,6.77,Yes,High,Rice
Loamy,68,Dhaka,Monsoon,353.04,27.82,Agricultural,138,5.64,10.46,Yes,Moderate,Jute
Peaty,84,Dhaka,Summer,216.59,32.6,Barren,33,7.06,5.97,Yes,None,Rice
Loamy,73,Dhaka,Monsoon,88.84,38.38,Residential,33,5.76,4.51,Yes,None,Vegetables
Peaty,62,Dhaka,Monsoon,272.05,24.4,Agricultural,285,8.33,5.05,No,High,Maize
Loamy,76,Rangpur,Summer,319.77,32.7,Unused,159,4.63,10.87,Yes,Low,Maize
Silt,50,Dhaka,Autumn,51.01,26.89,Agricultural,313,6.82,9.07,No,Low,None
Peaty,45,Rangpur,Autumn,350.63,31.86,Agricultural,383,5.17,6.03,No,Low,Jute
Clay,57,Rangpur,Monsoon,115.11,34.07,Agricultural,138,7.35,8.44,No,Moderate,Wheat
Loamy,60,Chattogram,Autumn,243.22,16.14,Unused,257,5.2,8.22,Yes,Moderate,Vegetables
Loamy,81,Dhaka,Autumn,195.53,31.17,Residential,53,5.44,9.24,No,High,Jute
Peaty,75,Rajshahi,Monsoon,301.88,20.67,Barren,188,6.48,5.87,Yes,None,Jute
Clay,80,Khulna,Autumn,179.91,31.75,Residential,29,8.16,10.92,No,Low,Maize
